mol_id,smiles,source_db,molecular_target,mechanism_class,best_ref_name,best_ref_id,adc_approved_ref,bystander_ref,ensemble_tanimoto,scaffold_match,scaffold_score,pharmacophore_score,composite_score,priority_tier,matched_pharmacophores,top5_refs,top5_scores,processed_at,valid_smiles,cytotox_hepg2,cytotox_hskmc,cytotox_imr90,cancer_potency_nci60,Protox_Class,Predicted LD50 (mg/kg)
CHEMBL1683556,C#CCN(C)C[C@H](C[C@H]1O[C@H]2C[C@H]3O[C@@H](CC[C@@H]4O[C@@H](CC[C@@]56C[C@H]7O[C@H]8[C@@H](O5)[C@H]5O[C@H](CC[C@@H]5O[C@H]8[C@H]7O6)CC(=O)C[C@@H]2[C@H]1OC)CC4=C)C[C@@H](C)C3=C)OC,ChEMBL,Tubulin (non-Vinca),Tubulin misc.,Eribulin,80,No,Low,0.7644,TRUE,1,0.1429,0.7108,1,Tubulin (?ý) - Vinca/Auristatin; DNA - Calicheamicin/Enediyne,Eribulin; Halichondrin B; Spliceostatin A; FR901464; Thailanstatin A,0.764; 0.585; 0.326; 0.306; 0.304,14:06.1,TRUE,0.419842655,0.497598122,0.780005187,0.999253544,,
CHEMBL5190192,CCOc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1OS(N)(=O)=O,ChEMBL,"Tubulin (?, colch.)",Colchicine-site,Fosbretabulin,58,No,High,0.5065,TRUE,1,0.0714,0.5675,2,HSP90,Fosbretabulin; Combretastatin A4; Colchicine; BNC105; ABT-751,0.506; 0.493; 0.305; 0.292; 0.279,12:43.2,TRUE,0.158894572,0.033343874,0.210407846,0.999241152,,
ZINC04990392,Cc1oc2c(Cl)c(Cl)c(O)c(C[NH+](C)C)c2c1C(=O)c1ccc(Cl)cc1,ZINC12,"Tubulin (?, colch.)",Colchicine-site,BNC105,59,No,High,0.4665,TRUE,1,0,0.5333,2,,BNC105; SB-743921; Ispinesib; Topotecan; DXd (Exatecan deriv.),0.467; 0.365; 0.312; 0.307; 0.299,23:10.8,TRUE,0.484512374,0.494938914,0.521551211,0.014324282,,
CHEMBL1808006,COc1ccc(C(=O)c2coc3c(Br)cc(O)c(Br)c23)cc1,ChEMBL,"Tubulin (?, colch.)",Colchicine-site,BNC105,59,No,High,0.5137,TRUE,1,0,0.5568,2,,BNC105; Combretastatin A4; Streptonigrin; Daunorubicin; Colchicine,0.514; 0.291; 0.275; 0.269; 0.267,13:24.7,TRUE,0.476840581,0.174018409,0.397126849,0.242091114,,
CHEMBL5314536,[2H]c1c([2H])c([2H])c2c(C(=O)c3cc(Br)c(O)c(Br)c3)c(C(C)O)oc2c1[2H],ChEMBL,"Tubulin (?, colch.)",Colchicine-site,BNC105,59,No,High,0.4942,TRUE,1,0,0.5471,2,,BNC105; SB-743921; 10-Hydroxycamptothecin; SN-38; Exatecan,0.494; 0.301; 0.281; 0.281; 0.272,11:21.0,TRUE,0.474723632,0.244853361,0.386858436,0.576301401,,
ZINC01196697,COc1ccc(C(=O)c2coc3cc(Br)c(O)c(Br)c23)cc1,ZINC12,"Tubulin (?, colch.)",Colchicine-site,BNC105,59,No,High,0.5096,TRUE,1,0,0.5548,2,,BNC105; Combretastatin A4; Streptonigrin; Daunorubicin; Colchicine,0.510; 0.285; 0.277; 0.270; 0.265,03:00.6,TRUE,0.473582595,0.178386306,0.38731548,0.120987527,,
CHEMBL1965770,COc1ccc(CC2NC(=O)/C=C/CC(C(C)C3OC3c3ccccc3)OC(=O)C(CC(C)C)OC(=O)C(C)CNC2=O)cc1Cl,ChEMBL,Tubulin (?),Cryptophycin,Cryptophycin-1,38,No,High,1,FALSE,0,0.2143,0.5429,2,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; DNA - Calicheamicin/Enediyne,Cryptophycin-1; Cryptophycin-52; Cryptophycin-55; Ansamitocin P3; DM4,1.000; 0.896; 0.737; 0.387; 0.382,12:01.5,TRUE,0.473400774,0.275632405,0.562535879,0.996837601,,
ZINC04826090,COc1ccc2oc(/C=C/[NH+](C)C)c(C(=O)c3ccc(Cl)cc3)c2c1,ZINC12,"Tubulin (?, colch.)",Colchicine-site,BNC105,59,No,High,0.4792,TRUE,1,0,0.5396,2,,BNC105; SB-743921; Ispinesib; KW-2189; Duocarmycin SA,0.479; 0.335; 0.277; 0.275; 0.273,04:27.9,TRUE,0.470341783,0.089120928,0.310990326,0.211609664,,
CHEMBL2106228,CCc1oc2ccccc2c1C(=O)c1ccc(OCCN(CC)CC)cc1,ChEMBL,"Tubulin (?, colch.)",Colchicine-site,BNC105,59,No,High,0.4571,TRUE,1,0,0.5285,2,,BNC105; SB-743921; Belotecan; Vinblastine; Nemorubicin,0.457; 0.341; 0.301; 0.295; 0.293,11:21.0,TRUE,0.467991043,0.096097892,0.618992952,0.236103069,,
CHEMBL1903929,COc1ccc(OC)c(C(=O)c2coc3cc(Br)c(O)c(Br)c23)c1,ChEMBL,"Tubulin (?, colch.)",Colchicine-site,BNC105,59,No,High,0.5328,TRUE,1,0,0.5664,2,,BNC105; Combretastatin A4; Streptonigrin; Daunorubicin; Epirubicin,0.533; 0.311; 0.297; 0.293; 0.284,12:01.5,TRUE,0.461053584,0.167045095,0.357202248,0.071578734,,
CHEMBL224006,CC(O)c1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,ChEMBL,"Tubulin (?, colch.)",Colchicine-site,BNC105,59,No,High,0.515,TRUE,1,0,0.5575,2,,BNC105; SB-743921; SN-38; Belotecan; 10-Hydroxycamptothecin,0.515; 0.315; 0.282; 0.280; 0.280,09:14.5,TRUE,0.553023851,0.232722776,0.415408924,0.323294935,,
CHEMBL1866619,COc1ccc(C=CC(=O)c2ccc(OC)c(OC)c2)cc1O,ChEMBL,"Tubulin (?, colch.)",Colchicine-site,Combretastatin A4,57,No,High,0.6762,FALSE,0,0,0.3381,3,,Combretastatin A4; Fosbretabulin; BNC105; Colchicine; Tomaymycin,0.676; 0.439; 0.403; 0.380; 0.276,14:47.9,TRUE,0.546884079,0.022911633,0.408524437,0.244952263,,
