mol_id,smiles,source_db,molecular_target,mechanism_class,best_ref_name,best_ref_id,adc_approved_ref,bystander_ref,ensemble_tanimoto,scaffold_match,scaffold_score,pharmacophore_score,composite_score,priority_tier,matched_pharmacophores,top5_refs,top5_scores,processed_at,valid_smiles,cytotox_hepg2,cytotox_hskmc,cytotox_imr90,cancer_potency_nci60,Protox_Class,Predicted LD50 (mg/kg)
CHEMBL539574,COC(=O)c1c(C)[nH]c2c(OC(=O)N3CCN(C)CC3)cc3c(c12)[C@H](CBr)CN3C(=O)/C=C/c1cnc(OC)nc1,ChEMBL,DNA (minor groove),Duocarmycin,KW-2189,29,No,High,0.7657,FALSE,0,0.2857,0.44,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; DNA - PBD; RNA Polymerase II - Amatoxin,KW-2189; Vincristine; Duocarmycin SA; CC-1065; Vinblastine,0.766; 0.436; 0.432; 0.431; 0.424,12:43.2,TRUE,0.091981794,0.178555601,0.10014201,0.895186809,,
CHEMBL35670,COC(=O)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)c1cc4cc(OC)c(OC)c(OC)c4[nH]1)C3=CC2=O,ChEMBL,DNA (minor groove),Duocarmycin,Duocarmycin SA,26,No,High,0.87,TRUE,1,0.3571,0.8064,1,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; RNA Polymerase II - Amatoxin; Kinesin Eg5 (KSP); HSP90,Duocarmycin SA; Duocarmycin A; CC-1065; Adozelesin; KW-2189,0.870; 0.706; 0.663; 0.631; 0.578,14:06.1,TRUE,0.191926259,0.254053993,0.25913389,0.957215968,,
ZINC32828268,COC(=O)c1cc(CN(C)C(=O)c2cc3c(OC)cc(OC)c(OC)c3[nH]2)oc1C,ZINC12,DNA (minor groove),Duocarmycin,KW-2189,29,No,High,0.4683,FALSE,0,0.3571,0.3056,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; RNA Polymerase II - Amatoxin; Tubulin (?ý) - Colchicine site; HSP90,KW-2189; Duocarmycin SA; Duocarmycin A; CC-1065; BNC105,0.468; 0.464; 0.439; 0.396; 0.362,54:45.4,TRUE,0.074666697,0.034749432,0.09274892,0.025998772,,
CHEMBL70648,COC(=O)c1cc2c([nH]1)C(=O)C=C1N(C(=O)c3cc4cc(OC)ccc4[nH]3)C[C@H]3C[C@]123,ChEMBL,DNA (minor groove),Duocarmycin,Duocarmycin SA,26,No,High,0.8554,TRUE,1,0.2857,0.7848,1,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; RNA Polymerase II - Amatoxin; Kinesin Eg5 (KSP),Duocarmycin SA; Adozelesin; CC-1065; Duocarmycin A; KW-2189,0.855; 0.661; 0.620; 0.614; 0.466,09:56.1,TRUE,0.146701562,0.196764115,0.178929824,0.817537396,,
ZINC12143529,COc1cc(OC)c2cc(C(=O)N3CCC(O)(Cn4ccnc4C)CC3)[nH]c2c1OC,ZINC12,DNA (minor groove),Duocarmycin,Duocarmycin SA,26,No,High,0.4653,FALSE,0,0.3571,0.3041,3,Tubulin (?ý) - Vinca/Auristatin; RNA Polymerase II - Amatoxin; Tubulin (?ý) - Colchicine site; Kinesin Eg5 (KSP); HSP90,Duocarmycin SA; KW-2189; Duocarmycin A; CC-1065; Vincristine,0.465; 0.465; 0.464; 0.455; 0.407,34:45.3,TRUE,0.066820057,0.063928369,0.174915336,0.496512584,,
ZINC05347159,COc1cc2[nH]c(C(=O)N3CCc4ccccc43)cc2c(OC)c1OC,ZINC12,DNA (minor groove),Duocarmycin,KW-2189,29,No,High,0.5078,FALSE,0,0.2857,0.3111,3,Tubulin (?ý) - Vinca/Auristatin; DNA - PBD; RNA Polymerase II - Amatoxin; HSP90,KW-2189; Duocarmycin SA; CC-1065; Duocarmycin A; Vincristine,0.508; 0.463; 0.451; 0.451; 0.387,23:49.3,TRUE,0.192476021,0.073310428,0.166920284,0.076211411,,
CHEMBL1164103,COc1cc2c(cc1OC)C(=O)N1C=C(c3ccc(C)cc3)C[C@H]1C=N2,ChEMBL,DNA (minor groove),PBD Dimer,Tesirine payload (SG3199),21,Yes,High,0.7096,FALSE,0,0.1429,0.3834,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,Tesirine payload (SG3199); Tomaymycin; Anthramycin; Sibiromycin; Duocarmycin SA,0.710; 0.426; 0.407; 0.401; 0.339,14:47.9,TRUE,0.116401875,0.070556556,0.08838981,0.961817387,,
CHEMBL1165777,COc1cc2c(cc1OC)C(=O)N1C=C(c3ccc4ncccc4c3)C[C@H]1C=N2,ChEMBL,DNA (minor groove),PBD Dimer,Tesirine payload (SG3199),21,Yes,High,0.6402,FALSE,0,0.1429,0.3487,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,Tesirine payload (SG3199); Tomaymycin; Sibiromycin; Anthramycin; Duocarmycin A,0.640; 0.400; 0.388; 0.381; 0.348,11:21.0,TRUE,0.124881641,0.104607759,0.087573692,0.991539687,,
CHEMBL1165586,COc1cc2c(cc1OC)C(=O)N1C=C(c3cccc([N+](=O)[O-])c3)C[C@H]1C=N2,ChEMBL,DNA (minor groove),PBD Dimer,Tesirine payload (SG3199),21,Yes,High,0.6278,FALSE,0,0.1429,0.3425,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,Tesirine payload (SG3199); Tomaymycin; Anthramycin; Sibiromycin; Duocarmycin SA,0.628; 0.390; 0.375; 0.374; 0.325,14:47.9,TRUE,0.121717002,0.053208222,0.086995616,0.932499394,,
CHEMBL1165067,COc1cc2c(cc1OC)C(=O)N1C=C(c3cnn(C)c3)C[C@H]1C=N2,ChEMBL,DNA (minor groove),PBD Dimer,Tesirine payload (SG3199),21,Yes,High,0.6354,FALSE,0,0.1429,0.3463,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,Tesirine payload (SG3199); Tomaymycin; Sibiromycin; Anthramycin; Duocarmycin SA,0.635; 0.402; 0.379; 0.376; 0.346,12:43.2,TRUE,0.045747938,0.028051106,0.080527307,0.996006781,,
CHEMBL183684,COc1cc2c(cc1OCCCNC(=O)c1cccc3cc4ccccc4nc13)N=C[C@@H]1CCCN1C2=O,ChEMBL,DNA (minor groove),PBD Dimer,Tesirine payload (SG3199),21,Yes,High,0.5877,FALSE,0,0.1429,0.3224,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,Tesirine payload (SG3199); Tomaymycin; Camptothecin; Belotecan; Ispinesib,0.588; 0.396; 0.360; 0.352; 0.348,10:39.5,TRUE,0.1496941,0.051181678,0.100058852,0.991498461,,
